rule_id,query_name,industry,objective,category,subcategory,source_query_syntax,apply_on,speaker_hint,required_groups,forbidden_terms,window_seconds,first_n_seconds_only,exclude_first_n_seconds,compiled_regex,notes,regex_flags
751,HD - Member Card,BCBSNC,Identify calls where customers talk about Member card.,Miscellaneous,Member Card,"Online = OR(""you need to go online"", ""you'll need to go online"", ""you need to go back online"")
Contact = OR(""you need to contact"", ""you would need to contact"")

Assignment = NOTLIKE(Online, ""an you can go online"", ""k you can go online"", ""you to go online"", ""choose to go online"")
Assignment2 = NOTLIKE(Contact, ""he agreed to the contracted"", ""an you did contact"", ""you can contact"",\
""what we need to do is contact"", ""that we need to contact"")

Results = OR(""what you can do is"", ""you might want to"", ""what you need to do is"", Assignment, \
Assignment2)",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""you need to go online"", ""you'll need to go online"", ""you need to go back online""], [""you need to contact"", ""you would need to contact""], [""what you can do is"", ""you might want to"", ""what you need to do is"", ""Assignment"", ""Assignment2""]]","[""Online"", ""an you can go online"", ""k you can go online"", ""you to go online"", ""choose to go online"", ""Contact"", ""he agreed to the contracted"", ""an you did contact"", ""you can contact"", ""\""what we need to do is contact"", ""that we need to contact""]",,,,"^(?!.*Online)(?!.*an\s+you\s+can\s+go\s+online)(?!.*k\s+you\s+can\s+go\s+online)(?!.*you\s+to\s+go\s+online)(?!.*choose\s+to\s+go\s+online)(?!.*Contact)(?!.*he\s+agreed\s+to\s+the\s+contracted)(?!.*an\s+you\s+did\s+contact)(?!.*you\s+can\s+contact)(?!.*""what\s+we\s+need\s+to\s+do\s+is\s+contact)(?!.*that\s+we\s+need\s+to\s+contact)(?=.*(?:you\s+need\s+to\s+go\s+online|you'll\s+need\s+to\s+go\s+online|you\s+need\s+to\s+go\s+back\s+online))(?=.*(?:you\s+need\s+to\s+contact|you\s+would\s+need\s+to\s+contact))(?=.*(?:what\s+you\s+can\s+do\s+is|you\s+might\s+want\s+to|what\s+you\s+need\s+to\s+do\s+is|Assignment|Assignment2)).*$",,IGNORECASE
752,HD - Promise Action Failure,BCBSNC,Identify calls where the promised was given to the customer however it was not fulfilled,Promised Actions,Promise Action Failure,"Promise_Failure=OR(""I was told that"",""Follow up"",NOTLIKE(""I was promised"",""The Pharmacy""),NOTLIKE(""I was assured"",""I wasn't sure""))

Result=FIRST_120(Promise_Failure)",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""I was told that"", ""Follow up""], [""Promise_Failure""]]","[""I was promised"", ""The Pharmacy"", ""I was assured"", ""I wasn't sure""]",,120,,^(?!.*I\s+was\s+promised)(?!.*The\s+Pharmacy)(?!.*I\s+was\s+assured)(?!.*I\s+wasn't\s+sure)(?=.*(?:I\s+was\s+told\s+that|Follow\s+up))(?=.*(?:Promise_Failure)).*$,,IGNORECASE
753,HD - Promised Actions,BCBSNC,Identify the calls wherein actions are promised by the advisor,Promised Actions,Promised Actions,"PA1 = OR(""I will call you back on"",""I will give you a callback"", ""Take care of it"", ""You will receive your card"", ""I will get back to you"", \
""it has been taken care of"", ""I am gonna go ahead and"")
PA2 = OR(""I will go ahead and"", ""I will be sending you the"")
PA3 = OR(PA1,PA2)

Final = NOTLIKE(PA3, ""Is there a phone number"", ""I can call you back"", ""Can I give you a callback"", ""For eligibility"", ""Medicare"", ""I will take Part A only"", \
""Can I check any other"", ""They were going to take"", ""anyway to call you"", ""That is fine with me"", ""Let me check that"")",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""I will call you back on"", ""I will give you a callback"", ""Take care of it"", ""You will receive your card"", ""I will get back to you"", ""\""it has been taken care of""], [""I will be sending you the""], [""PA1"", ""PA2""]]","[""PA3"", ""Is there a phone number"", ""I can call you back"", ""Can I give you a callback"", ""For eligibility"", ""Medicare"", ""I will take Part A only"", ""\""Can I check any other"", ""They were going to take"", ""anyway to call you"", ""That is fine with me"", ""Let me check that""]",,,,"^(?!.*PA3)(?!.*Is\s+there\s+a\s+phone\s+number)(?!.*I\s+can\s+call\s+you\s+back)(?!.*Can\s+I\s+give\s+you\s+a\s+callback)(?!.*For\s+eligibility)(?!.*Medicare)(?!.*I\s+will\s+take\s+Part\s+A\s+only)(?!.*""Can\s+I\s+check\s+any\s+other)(?!.*They\s+were\s+going\s+to\s+take)(?!.*anyway\s+to\s+call\s+you)(?!.*That\s+is\s+fine\s+with\s+me)(?!.*Let\s+me\s+check\s+that)(?=.*(?:I\s+will\s+call\s+you\s+back\s+on|I\s+will\s+give\s+you\s+a\s+callback|Take\s+care\s+of\s+it|You\s+will\s+receive\s+your\s+card|I\s+will\s+get\s+back\s+to\s+you|""it\s+has\s+been\s+taken\s+care\s+of))(?=.*(?:I\s+will\s+be\s+sending\s+you\s+the))(?=.*(?:PA1|PA2)).*$",,IGNORECASE
754,HD - Repeat Callers,BCBSNC,Searches the call for the repeat callers,Multiple contact,Repeat Callers,"RC1 = OR(""I called Yesterday"", ""I had called earlier"", ""I called the other day"", ""I had called earlier this week "", ""Called last week"", \
""A month ago I called"", ""I spoke with someone"")
RC2 = OR(""They called me yesterday and"", ""When I called earlier"", ""I called them and they"", ""Person I spoke with"", \
""This is the third time"")
RC3 = OR(""I called earlier this morning"", ""Last time I called"", ""This is the second time"", ""I called and spoke to"", ""I talked to someone"", \
""Call was disconnected and"")
RC4 = FIRST_120(NOTLIKE(""Reference Number"", ""Phone Number"", ""Authorization number"", ""Group Number"", ""Retirement Number"", ""Policy Number"", \
""I D Number""))
RC5=OR(""i called last week"",""i called early last week"",\
""spoke with someone"", ""last time i spoke with someone"")

RC6= OR(""about a month ago i called"",""we called earlier"",""when i called in"")

RepeatCaller = OR(RC1,RC2,RC3,RC4,RC5,RC6)
Final = NOTLIKE(RepeatCaller, ""Called the authorization"", ""Co-pay"", ""Calendar year"", ""Other date of service"", ""See what I can find"", \
""First time I have had"", ""Another question"", ""This is the first time"", ""Call the authorization"", ""Termination date"", ""Twenty second"")",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""I called Yesterday"", ""I had called earlier"", ""I called the other day"", ""I had called earlier this week"", ""Called last week"", ""\""A month ago I called"", ""I spoke with someone""], [""When I called earlier"", ""Person I spoke with"", ""\""This is the third time""], [""I called earlier this morning"", ""Last time I called"", ""This is the second time"", ""I talked to someone""], [""i called last week"", ""i called early last week"", ""\""spoke with someone"", ""last time i spoke with someone""], [""about a month ago i called"", ""we called earlier"", ""when i called in""], [""RC1"", ""RC2"", ""RC3"", ""RC4"", ""RC5"", ""RC6""]]","[""Reference Number"", ""Phone Number"", ""Authorization number"", ""Group Number"", ""Retirement Number"", ""Policy Number"", ""\""I D Number"", ""RepeatCaller"", ""Called the authorization"", ""Co-pay"", ""Calendar year"", ""Other date of service"", ""See what I can find"", ""\""First time I have had"", ""Another question"", ""This is the first time"", ""Call the authorization"", ""Termination date"", ""Twenty second""]",,120,,"^(?!.*Reference\s+Number)(?!.*Phone\s+Number)(?!.*Authorization\s+number)(?!.*Group\s+Number)(?!.*Retirement\s+Number)(?!.*Policy\s+Number)(?!.*""I\s+D\s+Number)(?!.*RepeatCaller)(?!.*Called\s+the\s+authorization)(?!.*Co\-pay)(?!.*Calendar\s+year)(?!.*Other\s+date\s+of\s+service)(?!.*See\s+what\s+I\s+can\s+find)(?!.*""First\s+time\s+I\s+have\s+had)(?!.*Another\s+question)(?!.*This\s+is\s+the\s+first\s+time)(?!.*Call\s+the\s+authorization)(?!.*Termination\s+date)(?!.*Twenty\s+second)(?=.*(?:I\s+called\s+Yesterday|I\s+had\s+called\s+earlier|I\s+called\s+the\s+other\s+day|I\s+had\s+called\s+earlier\s+this\s+week|Called\s+last\s+week|""A\s+month\s+ago\s+I\s+called|I\s+spoke\s+with\s+someone))(?=.*(?:When\s+I\s+called\s+earlier|Person\s+I\s+spoke\s+with|""This\s+is\s+the\s+third\s+time))(?=.*(?:I\s+called\s+earlier\s+this\s+morning|Last\s+time\s+I\s+called|This\s+is\s+the\s+second\s+time|I\s+talked\s+to\s+someone))(?=.*(?:i\s+called\s+last\s+week|i\s+called\s+early\s+last\s+week|""spoke\s+with\s+someone|last\s+time\s+i\s+spoke\s+with\s+someone))(?=.*(?:about\s+a\s+month\s+ago\s+i\s+called|we\s+called\s+earlier|when\s+i\s+called\s+in))(?=.*(?:RC1|RC2|RC3|RC4|RC5|RC6)).*$",,IGNORECASE
755,HD - Ridiculous,BCBSNC,"Identifies calls where a mention is made about something that is ""ridiculous"".",Customer Experience,Ridiculous,"Ridiculous = OR(""ridiculous"", ""just ridiculous"", ""that's ridiculous"", \
""this is ridiculous"", ""kind of ridiculous"", ""getting a little ridiculous"", ""really ridiculous"", \
""totally ridiculous"", ""getting ridiculous"", ""a little bit ridiculous"", ""which is ridiculous"",\
""a little ridiculous"", ""absolutely ridiculous"", ""it's ridiculous"")

Results=NOTLIKE(Ridiculous, ""this particular"", ""that particular"", ""feel free to give us"", ""just regular services"")",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""ridiculous"", ""just ridiculous"", ""that's ridiculous"", ""\""this is ridiculous"", ""kind of ridiculous"", ""getting a little ridiculous"", ""really ridiculous"", ""\""totally ridiculous"", ""getting ridiculous"", ""a little bit ridiculous"", ""which is ridiculous"", ""\""a little ridiculous"", ""absolutely ridiculous"", ""it's ridiculous""]]","[""Ridiculous"", ""this particular"", ""that particular"", ""feel free to give us"", ""just regular services""]",,,,"^(?!.*Ridiculous)(?!.*this\s+particular)(?!.*that\s+particular)(?!.*feel\s+free\s+to\s+give\s+us)(?!.*just\s+regular\s+services)(?=.*(?:ridiculous|just\s+ridiculous|that's\s+ridiculous|""this\s+is\s+ridiculous|kind\s+of\s+ridiculous|getting\s+a\s+little\s+ridiculous|really\s+ridiculous|""totally\s+ridiculous|getting\s+ridiculous|a\s+little\s+bit\s+ridiculous|which\s+is\s+ridiculous|""a\s+little\s+ridiculous|absolutely\s+ridiculous|it's\s+ridiculous)).*$",,IGNORECASE
756,HD - Self Service Failures,BCBSNC,"Calls where customers report failed attempts at self-service, via the web, IVR, etc.",Member Services,Self Service Failures,"Service_Failure=OR(""I have a problem with the website"",""it says service unavailable"",""not user friendly"",""I have trouble with the website"",""put you over to E-Benefits"",\
""have a password reset"",""to help you with the navigation"",""help you with online enrolement"",""they can reset your account"",\
""let me get you over to e-benefits"",""Trouble with the site navigation"")",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""I have a problem with the website"", ""it says service unavailable"", ""not user friendly"", ""I have trouble with the website"", ""put you over to E-Benefits"", ""\""have a password reset"", ""to help you with the navigation"", ""help you with online enrolement"", ""they can reset your account"", ""\""let me get you over to e-benefits"", ""Trouble with the site navigation""]]",[],,,,"^(?=.*(?:I\s+have\s+a\s+problem\s+with\s+the\s+website|it\s+says\s+service\s+unavailable|not\s+user\s+friendly|I\s+have\s+trouble\s+with\s+the\s+website|put\s+you\s+over\s+to\s+E\-Benefits|""have\s+a\s+password\s+reset|to\s+help\s+you\s+with\s+the\s+navigation|help\s+you\s+with\s+online\s+enrolement|they\s+can\s+reset\s+your\s+account|""let\s+me\s+get\s+you\s+over\s+to\s+e\-benefits|Trouble\s+with\s+the\s+site\s+navigation)).*$",,IGNORECASE
757,HD - Successful Completion,BCBSNC,Identify calls where the issue was resolved on the same call,Customer Experience,Successful Completion,"SC1=OR(""Else I can help you with"", ""Else I can assist you with"", ""Did you have any further questions"", ""Any other questions or concerns"", \
""Else I can look out for you"")
SC2=OR(""No Thanks"", ""No Thank You"", ""No That's all I need"", ""No, That was all"", ""No, I appreciate your help"", ""No, That's all right"", \
""No that was it"", ""Not right now"")

Result=LAST_60(BEFORE_10(SC1,SC2))

Final = NOTLIKE(Result, ""I mean that will be"", ""I think I have a question"", ""I appreciate your patience"", ""no other time"")
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""Else I can help you with"", ""Else I can assist you with"", ""Did you have any further questions"", ""Any other questions or concerns"", ""\""Else I can look out for you""], [""No Thanks"", ""No Thank You"", ""No That's all I need"", ""No, That was all"", ""No, I appreciate your help"", ""No, That's all right"", ""\""No that was it"", ""Not right now""]]","[""Result"", ""I mean that will be"", ""I think I have a question"", ""I appreciate your patience"", ""no other time""]",,,,"^(?!.*Result)(?!.*I\s+mean\s+that\s+will\s+be)(?!.*I\s+think\s+I\s+have\s+a\s+question)(?!.*I\s+appreciate\s+your\s+patience)(?!.*no\s+other\s+time)(?=.*(?:Else\s+I\s+can\s+help\s+you\s+with|Else\s+I\s+can\s+assist\s+you\s+with|Did\s+you\s+have\s+any\s+further\s+questions|Any\s+other\s+questions\s+or\s+concerns|""Else\s+I\s+can\s+look\s+out\s+for\s+you))(?=.*(?:No\s+Thanks|No\s+Thank\s+You|No\s+That's\s+all\s+I\s+need|No,\s+That\s+was\s+all|No,\s+I\s+appreciate\s+your\s+help|No,\s+That's\s+all\s+right|""No\s+that\s+was\s+it|Not\s+right\s+now)).*$",,IGNORECASE
758,HD - Transfer Out,BCBSNC,Identify the calls wherein calls is transferred out to other departments,Transfer,Transfer Out,"X1 = OR(""Transfer you to the"", ""Transfer you over to our"", ""Transfer you directly to"", ""Can you transfer me to the"", ""Get you over to that"", \
""I can get you connected"", ""I will connect you with"")
X2 = OR(""Sales department"", ""Billing department"", ""Host department"", ""Dental department"", ""Benefits department"", ""the claims department"", \
""Settle department"", ""Federal department"", ""different department"", ""Correct department"", ""the right department"", ""Member services department"", \
""Corporate department"", ""Department that handles"", ""Pre Cert department"", ""Another department"", ""Separate department"", \
""Finance department"", ""Health Department"", ""Appeals Department"")
X3 = NOTLIKE(X2, ""Apartment Number"", ""Claim over to us"", ""Prior authorization"", ""Sent over to our"", ""Payment arrangements"", ""Out patient"")
XF = AND_5(X1,X3)
XF1 = OR(""Please leave your"", ""Press one"", ""Press two"", ""Press three"", ""You have reached"")
Final = ANDNOT_10(XF,XF1)",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""Transfer you to the"", ""Transfer you over to our"", ""Transfer you directly to"", ""Can you transfer me to the"", ""Get you over to that"", ""\""I can get you connected"", ""I will connect you with""], [""Sales department"", ""Billing department"", ""Host department"", ""Dental department"", ""Benefits department"", ""the claims department"", ""\""Settle department"", ""Federal department"", ""different department"", ""Correct department"", ""the right department"", ""Member services department"", ""\""Corporate department"", ""Pre Cert department"", ""Another department"", ""Separate department"", ""\""Finance department"", ""Health Department"", ""Appeals Department""], [""Please leave your"", ""Press one"", ""Press two"", ""Press three"", ""You have reached""], [""X1""], [""X3""]]","[""X2"", ""Apartment Number"", ""Claim over to us"", ""Prior authorization"", ""Sent over to our"", ""Payment arrangements"", ""Out patient""]",5,,,"^(?!.*X2)(?!.*Apartment\s+Number)(?!.*Claim\s+over\s+to\s+us)(?!.*Prior\s+authorization)(?!.*Sent\s+over\s+to\s+our)(?!.*Payment\s+arrangements)(?!.*Out\s+patient)(?=.*(?:Transfer\s+you\s+to\s+the|Transfer\s+you\s+over\s+to\s+our|Transfer\s+you\s+directly\s+to|Can\s+you\s+transfer\s+me\s+to\s+the|Get\s+you\s+over\s+to\s+that|""I\s+can\s+get\s+you\s+connected|I\s+will\s+connect\s+you\s+with))(?=.*(?:Sales\s+department|Billing\s+department|Host\s+department|Dental\s+department|Benefits\s+department|the\s+claims\s+department|""Settle\s+department|Federal\s+department|different\s+department|Correct\s+department|the\s+right\s+department|Member\s+services\s+department|""Corporate\s+department|Pre\s+Cert\s+department|Another\s+department|Separate\s+department|""Finance\s+department|Health\s+Department|Appeals\s+Department))(?=.*(?:Please\s+leave\s+your|Press\s+one|Press\s+two|Press\s+three|You\s+have\s+reached))(?=.*(?:X1))(?=.*(?:X3)).*$",,IGNORECASE
759,Hold - Place on Hold,BCBSNC,Searches for calls that are placed on hold,Metadata,Place on Hold,"; Threshold = Custom
; Searches for calls that are placed on hold
Hold = NOTLAST_10(OR(""place you on hold"", ""mind if i place you on hold"", ""would you mind holding"", \
""do you mind holding"", ""if you don't mind holding"", ""can you hold"", ""hold for just a moment"", ""holding for just a moment"", \
""hold on one moment"", ""hold just one moment"", ""could you hold just a moment"", \
""can i place you on hold"", ""can you hold just one moment"", ""do you mind holding for me"", \
""please hold while you are being transferred"", ""thank you for holding _pau i appreciate your"", \
NOTLIKE(""thank you for holding"", ""thank you for calling""), ""a moment while i research further"", \
NOTLIKE(""thank you very much for your patience"", ""thank you very much for your help""), \
""holding for me"", ""please hold _pau someone will assist""))

; Final query
Final = NOTFIRST_20(Hold)",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""place you on hold"", ""mind if i place you on hold"", ""would you mind holding"", ""\""do you mind holding"", ""if you don't mind holding"", ""can you hold"", ""hold for just a moment"", ""holding for just a moment"", ""\""hold on one moment"", ""hold just one moment"", ""could you hold just a moment"", ""\""can i place you on hold"", ""can you hold just one moment"", ""do you mind holding for me"", ""\""please hold while you are being transferred"", ""thank you for holding _pau i appreciate your""], [""Hold""]]","[""thank you for holding"", ""thank you for calling"", ""thank you very much for your patience"", ""thank you very much for your help""]",,,20,"^(?!.*thank\s+you\s+for\s+holding)(?!.*thank\s+you\s+for\s+calling)(?!.*thank\s+you\s+very\s+much\s+for\s+your\s+patience)(?!.*thank\s+you\s+very\s+much\s+for\s+your\s+help)(?=.*(?:place\s+you\s+on\s+hold|mind\s+if\s+i\s+place\s+you\s+on\s+hold|would\s+you\s+mind\s+holding|""do\s+you\s+mind\s+holding|if\s+you\s+don't\s+mind\s+holding|can\s+you\s+hold|hold\s+for\s+just\s+a\s+moment|holding\s+for\s+just\s+a\s+moment|""hold\s+on\s+one\s+moment|hold\s+just\s+one\s+moment|could\s+you\s+hold\s+just\s+a\s+moment|""can\s+i\s+place\s+you\s+on\s+hold|can\s+you\s+hold\s+just\s+one\s+moment|do\s+you\s+mind\s+holding\s+for\s+me|""please\s+hold\s+while\s+you\s+are\s+being\s+transferred|thank\s+you\s+for\s+holding\s+_pau\s+i\s+appreciate\s+your))(?=.*(?:Hold)).*$",,IGNORECASE
760,HP - Inquiry to the Home Plan,BCBSNC,Searches calls for inquiries to the home plan,Plan Related,Inquiry to the Home Plan,"; Threshold = Custom
; Searches calls for inquiries to the home plan
; Final query
Final = ""inquiry to the home plan""",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""inquiry to the home plan""]]",[],,,,^(?=.*(?:inquiry\s+to\s+the\s+home\s+plan)).*$,,IGNORECASE
761,HP - Plan to Plan,BCBSNC,Searches calls discussing plan to plan,Plan Related,Plan to Plan,"; Threshold = Custom
; Searches calls discussing plan to plan
; Final query
Final = OR(""dedicated service center"", ""plan to plan dedicated service center"", \
""plan to plan customer care center"", ""plan to plan service unit"", ""plan to plan home area"", \
""plan to plan line"", ""plan to plan dedicated line"" )",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""dedicated service center"", ""plan to plan dedicated service center"", ""\""plan to plan customer care center"", ""plan to plan service unit"", ""plan to plan home area"", ""\""plan to plan line"", ""plan to plan dedicated line""]]",[],,,,"^(?=.*(?:dedicated\s+service\s+center|plan\s+to\s+plan\s+dedicated\s+service\s+center|""plan\s+to\s+plan\s+customer\s+care\s+center|plan\s+to\s+plan\s+service\s+unit|plan\s+to\s+plan\s+home\s+area|""plan\s+to\s+plan\s+line|plan\s+to\s+plan\s+dedicated\s+line)).*$",,IGNORECASE
762,M - Cross Over,BCBSNC,Searches for calls that discuss cross over related calls,Medicare,Cross Over,"; Threshold = Custom
; Searches for calls that discuss cross over related calls
; Final query
Final = NOTLIKE(""cross over"", ""blue cross"", ""costs over"")",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""cross over"", ""blue cross"", ""costs over""]]","[""cross over"", ""blue cross"", ""costs over""]",,,,^(?!.*cross\s+over)(?!.*blue\s+cross)(?!.*costs\s+over)(?=.*(?:cross\s+over|blue\s+cross|costs\s+over)).*$,,IGNORECASE
763,M - Medicare,BCBSNC,Searches for calls that discuss Medicare related calls,Medicare,Medicare,"; Threshold = Custom
; Searches for calls that discuss Medicare related calls
; Final query
Final = OR(NOTLIKE(""medicare"", ""primary care""), ""medicare advantage medicare replacement"", ""medicare supplement"", \
""medicare supplement plan"")",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""medicare"", ""primary care"", ""medicare advantage medicare replacement"", ""medicare supplement"", ""medicare supplement plan""]]","[""medicare"", ""primary care""]",,,,^(?!.*medicare)(?!.*primary\s+care)(?=.*(?:medicare|primary\s+care|medicare\s+advantage\s+medicare\s+replacement|medicare\s+supplement|medicare\s+supplement\s+plan)).*$,,IGNORECASE
764,Member Assignment2,BCBSNC,Measure percentage of calls where CSRs give customers follow up actions in order to close issue/transaction.,Member Services,Member Assignment2,"Result= OR(""you have to speak with"",""what you will have to do"",""you will need to contact the provider"",\
""you will have to contact"")
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""you have to speak with"", ""what you will have to do"", ""you will need to contact the provider"", ""\""you will have to contact""]]",[],,,,"^(?=.*(?:you\s+have\s+to\s+speak\s+with|what\s+you\s+will\s+have\s+to\s+do|you\s+will\s+need\s+to\s+contact\s+the\s+provider|""you\s+will\s+have\s+to\s+contact)).*$",,IGNORECASE
765,Prime Therapeutic,BCBSNC,Calls where prime therapeutic has been discussed.,Benefits,Prime Therapeutic,"PRIME1 = NOTLIKE(""prime therapeutics"",""primary care"",""primary insurance"",""physical therapy"")
PRIME2 = NOTLIKE(""my prime mail dot com"",""gmail dot com"",""hotmail dot com"")

Final = OR(PRIME1,PRIME2)",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""PRIME1"", ""PRIME2""]]","[""prime therapeutics"", ""primary care"", ""primary insurance"", ""physical therapy"", ""my prime mail dot com"", ""gmail dot com"", ""hotmail dot com""]",,,,^(?!.*prime\s+therapeutics)(?!.*primary\s+care)(?!.*primary\s+insurance)(?!.*physical\s+therapy)(?!.*my\s+prime\s+mail\s+dot\s+com)(?!.*gmail\s+dot\s+com)(?!.*hotmail\s+dot\s+com)(?=.*(?:PRIME1|PRIME2)).*$,,IGNORECASE
766,TD - Benefits Department,BCBSNC,Searches for calls transferred to benefits department,Transfer,Benefits Department,"Benefits =NOTLIKE(OR(""transfer over to Benefits representative"",""get over to benefits representative"",""transfer your call to our benefits representative""),\
""Service representative"",""member service representative"",""representative"",""transfer your call to the claims representative"",\
""transfer you over"")",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""transfer over to Benefits representative"", ""get over to benefits representative"", ""transfer your call to our benefits representative""]]",[],,,,^(?=.*(?:transfer\s+over\s+to\s+Benefits\s+representative|get\s+over\s+to\s+benefits\s+representative|transfer\s+your\s+call\s+to\s+our\s+benefits\s+representative)).*$,,IGNORECASE
767,TD - Billing Department,BCBSNC,Searches for calls transferred to billing department,Transfer,Billing Department,"BILLING=NOTLIKE(OR(""transfer you over to the billing"",""connect you over to billing"",\
""transfer to our billing department"",""transfer you to our billing representative"",""transfer me to the billing"",\
""get you over to our billing representative"",""lemme get you over to the billing"",\
""can get you over to the payment""),""transfer you over there"",""transfer you to representative"",\
""transfer you over to them"",""transfer over to correct department"",""transfer you over to another"",""transfer you to right representative"",\
""transfer me to scheduling"",""transfer you over to the agent"",""transfer over to our claim representative"",""get you over to another representative"",\
""speak to one of our representative"",""get you over to a representative"")

RESULT=ANDNOT_10(BILLING,OR(""press"",""claim"",""benefits"",""sales""))",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""transfer you over to the billing"", ""connect you over to billing"", ""\""transfer to our billing department"", ""transfer you to our billing representative"", ""transfer me to the billing"", ""\""get you over to our billing representative"", ""lemme get you over to the billing"", ""\""can get you over to the payment""], [""press"", ""claim"", ""benefits"", ""sales""]]",[],,,,"^(?=.*(?:transfer\s+you\s+over\s+to\s+the\s+billing|connect\s+you\s+over\s+to\s+billing|""transfer\s+to\s+our\s+billing\s+department|transfer\s+you\s+to\s+our\s+billing\s+representative|transfer\s+me\s+to\s+the\s+billing|""get\s+you\s+over\s+to\s+our\s+billing\s+representative|lemme\s+get\s+you\s+over\s+to\s+the\s+billing|""can\s+get\s+you\s+over\s+to\s+the\s+payment))(?=.*(?:press|claim|benefits|sales)).*$",,IGNORECASE
768,TD - Claim Department,BCBSNC,Searches for calls transferred to claims department,Transfer,Claim Department,"claims =OR(NOTLIKE(""claims department"",""correct department"",""claims information"",""claims fyling address"",""billing department"",""preset department"",\
""plan to plan department"",""service department""),NOTLIKE(""claims representative"",""plan representative"",""authray representative"",""representative"",\
""representative in billing"",""claim status"",""plan to plan representative""))",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""claims department"", ""correct department"", ""claims information"", ""claims fyling address"", ""billing department"", ""preset department"", ""plan to plan department"", ""service department"", ""claims representative"", ""plan representative"", ""authray representative"", ""representative"", ""representative in billing"", ""claim status"", ""plan to plan representative""]]","[""claims department"", ""correct department"", ""claims information"", ""claims fyling address"", ""billing department"", ""preset department"", ""\""plan to plan department"", ""service department"", ""claims representative"", ""plan representative"", ""authray representative"", ""representative"", ""\""representative in billing"", ""claim status"", ""plan to plan representative""]",,,,"^(?!.*claims\s+department)(?!.*correct\s+department)(?!.*claims\s+information)(?!.*claims\s+fyling\s+address)(?!.*billing\s+department)(?!.*preset\s+department)(?!.*""plan\s+to\s+plan\s+department)(?!.*service\s+department)(?!.*claims\s+representative)(?!.*plan\s+representative)(?!.*authray\s+representative)(?!.*representative)(?!.*""representative\s+in\s+billing)(?!.*claim\s+status)(?!.*plan\s+to\s+plan\s+representative)(?=.*(?:claims\s+department|correct\s+department|claims\s+information|claims\s+fyling\s+address|billing\s+department|preset\s+department|plan\s+to\s+plan\s+department|service\s+department|claims\s+representative|plan\s+representative|authray\s+representative|representative|representative\s+in\s+billing|claim\s+status|plan\s+to\s+plan\s+representative)).*$",,IGNORECASE
769,TD - Customer Service Department,BCBSNC,Searches for calls transferred to customer service department,Transfer,Customer Service Department,"CUSTOMER=NOTLIKE(AND_4(""warm transfer"",""customer service""),""transfer your call to the next available customer"",\
""press to speak with customer service representative press"",""thanks for calling customer service"")
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""warm transfer""], [""customer service""]]",[],4,,,^(?=.*(?:warm\s+transfer))(?=.*(?:customer\s+service)).*$,,IGNORECASE
770,TD - Dental Department,BCBSNC,Searches for calls transferred to dental department,Transfer,Dental Department,"DENTAL=NOTLIKE(OR(""transfer me over to dental department"",""get you over to our dental department""),\
""transfer you to that department"",""transfer you to different department"",""transfer me over to the department"")
",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""transfer me over to dental department"", ""get you over to our dental department""]]",[],,,,^(?=.*(?:transfer\s+me\s+over\s+to\s+dental\s+department|get\s+you\s+over\s+to\s+our\s+dental\s+department)).*$,,IGNORECASE
